Exec,Control, Con   ,Labour ,LibDem ,UKIP ,Green ,Others ,ONS code,Region,Unnamed: 3,"Number of households (2014-based household interim projections for 2017)1
(000s) ",White,Black or Black British,Asian or Asian British,Mixed,Other ethnic origin,Ethnic Group not Stated,Total_x,"Number per 1,000 households","Eligible, homeless and in priority need, but intentionally","Eligible, homeless but not in priority need","Eligible, but not homeless",Total decisions,Bed and breakfast (including shared annexe),Hostels,LA/HA stock,Private sector leased (by LA or HA),Other types (including private landlord),Total in temporary accommodation,"Number per 1,000 households.1",Duty owed but no accommodation has been secured at end of March 2018,Unemployment,Unemployment rate (%),Area Code,Total_y,Attendance Allowance,Bereavement Benefit/Widow's Benefit,Carer's Allowance,Unnamed: 6,Unnamed: 7,Disability Living Allowance,of which children,of which working age,of which pensioners,Discretionary Housing Payments,Employment And Support Allowance,Housing Benefit,Incapacity Benefit,Income Support,Unnamed: 17,of which incapacity benefits,of which Lone Parent,of which Carer,of which Others,Unnamed: 22,Jobseeker's Allowance,Unnamed: 24,Unnamed: 25,Pension Credit,Personal Independence Payment,Unnamed: 28,Unnamed: 29,Severe Disablement Allowance,of which working age.1,of which pensioners.1,State Pension,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Winter Fuel Payments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5600.0,4.519661500000001,S12000033,502.9513599258847,12.994555670079302,1.5194472209248595,5.0454346084994555,,,28.379488624741235,4.479463487937025,13.735849126285135,10.17644748615384,1.650946,54.12327328932943,57.211597,0.018250096062847183,5.370495562263435,,0.08228318423494635,3.9213067154502395,1.111098192114799,0.2497209792230418,,8.92350567389261,,,10.833450862594388,23.8079145129907,,,0.43631429647542086,0.04513772712114677,0.3911765693542741,286.38414855240984,,,,,,,6.252537955621166
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4200.0,2.95779298,S12000034,576.5942069044604,12.63369288155325,2.38427785692594,6.4092001695851835,,,31.239685480995554,5.366586259576183,14.189993162880409,11.703501555520557,0.886184,42.487359674453245,42.055289,0.017930544869566564,4.361986605310594,,0.06406702043085169,2.9898706929060537,1.0704649103347321,0.24253604828092434,,5.335262880689826,,,11.046768838330475,23.239420452704827,,,0.5199252470838354,0.07907086898290708,0.44085437810092826,385.7825016993559,,,,,,,8.194721572602107
LC,Con,16,4,,7,,2,E07000223,SE,,28.527,31,--,--,--,--,--,38.0,1.33,7,10,12,67,--,--,--,20,32,62,2.17,--,1100.0,3.74794119,E07000223,187.31177239957307,7.070029101357046,0.4886867109858833,2.2985169593813337,,,9.67088723537165,1.9847625387136958,4.225179636829485,3.45193536994958,0.148702,12.968659191627722,19.027089,0.0,1.5313141709573295,,0.0,1.0739912766802533,0.37878071670369107,0.08374008155198255,,1.2018086114179005,,,5.092952930508,7.018785131903471,,,0.10472304822442961,0.01129583842612958,0.09342720979830003,118.0786683923042,,,,,,,2.6109499155341136
LC,Lab,15,29,,3,,9,E07000026,NW,,43.175,21,--,--,--,--,--,22.0,0.51,24,29,31,106,--,--,--,--,--,6,0.14,--,1800.0,4.02113475,E07000026,282.14692327479696,10.93164667719939,0.953621682949504,4.5252976013226744,,,14.808000608717954,2.2058040867179494,5.105595787674474,7.480337163059914,0.221697,22.223411832244675,20.637097,0.0,1.9834444889892573,,0.02948935823613618,0.9502425974369867,0.9554805529564709,0.04854828174414094,,1.22790785441801,,,7.201975907001867,17.502429306610868,,,0.19048451568283262,0.0,0.19048451568283262,175.87501583258646,,,,,,,3.8648929670735237
LC,Con,23,22,,,,,E07000032,EM,,54.937,72,--,--,--,--,--,76.0,1.38,--,--,87,240,--,--,8,--,--,12,0.22,--,2000.0,2.9674231499999997,E07000032,352.57250589813896,12.663304461425366,1.018073464980908,5.643014784854494,,,17.813933757113492,3.8970639756041416,5.059862312649794,8.842427462488528,0.193088,29.341507220935092,30.418401,0.0,4.074812613720845,,0.022054662010943072,2.5577263774353973,1.3639311910454501,0.12944955721680754,,2.155420455597387,,,8.719085985305158,20.969341951890115,,,0.18719158022380433,0.0,0.18719158022380433,214.81855190628787,,,,,,,4.556778715804412
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200.0,3.9072835,S12000041,338.28205663843914,9.551577223941345,1.109286294711394,4.763738559480566,,,18.90808937971892,3.4006927429046585,7.882866450850793,7.622937009016028,0.609101,29.636308747361586,27.441297,0.01796156925726371,3.35060782933812,,0.09267091400752922,1.9095543292094745,1.1783102462465573,0.1983365758497781,,3.119698566746668,,,8.435993404865135,17.24356853945872,,,0.3315928774988558,0.04518335370451832,0.2864095237943375,209.25808870451914,,,,,,,4.50514694154144
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S12000035,271.6761462987662,10.433513790409378,0.8805925795863154,3.2510932383103976,,,14.182450215977163,2.024194768889836,6.134670747796168,6.02923814042774,0.612457,22.950201426979895,22.80091,0.05173782014314849,1.9823559811058624,,0.018272284803637788,1.062511604296185,0.8038354235066085,0.10397546710837373,,2.1337715983697256,,,8.12100956506818,13.288065510632784,,,0.19058004452720712,0.0,0.19058004452720712,167.0371263275854,,,,,,,3.7602812000706933
