,,,,,,,,,,,,,,,,
,New ONS Code,Old ONS Code,Local Authority,Region,"2017 Rough Sleeping Rate per 1,000 households",RS-Female,RS-Male,RS-Unknown,RS-Under 18,RS-18-25,RS-Over 25,RS-Unknown,RS-UK,RS-EU,RS-non-EU,RS-Unknown
,E07000223,45UB,Adur,SE,0.07,0,2,0,0,0,2,0,2,0,0,0
,E07000026,16UB,Allerdale,NW,0.02,0,1,0,0,0,1,0,1,0,0,0
,E07000032,17UB,Amber Valley,EM,0.07,0,4,0,0,0,4,0,4,0,0,0
,E07000224,45UC,Arun,SE,0.24,3,14,0,0,1,16,0,16,1,0,0
,E07000170,37UB,Ashfield,EM,0.09,0,5,0,0,0,3,2,5,0,0,0
,E07000105,29UB,Ashford,SE,0.21,2,9,0,0,1,10,0,10,1,0,0
,E07000004,11UB,Aylesbury Vale,SE,0.26,4,16,0,0,2,17,1,17,2,0,1
,E07000200,42UB,Babergh,EE,0.03,0,1,0,0,1,0,0,1,0,0,0
,E09000002,00AB,Barking and Dagenham,L,0.00,0,0,0,0,0,0,0,0,0,0,0
,E09000003,00AC,Barnet,L,0.14,2,19,0,0,0,21,0,9,10,2,0
,E08000016,00CC,Barnsley,YH,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000027,16UC,Barrow-in-Furness,NW,0.00,0,0,0,0,0,0,0,0,0,0,0
,E07000066,22UB,Basildon,EE,0.31,3,21,0,0,4,20,0,21,3,0,0
,E07000084,24UB,Basingstoke and Deane,SE,0.20,2,13,0,0,1,14,0,13,1,1,0
,E07000171,37UC,Bassetlaw,EM,0.26,2,11,0,0,0,12,1,13,0,0,0
,E06000022,00HA,Bath and North East Somerset,SW,0.44,5,29,0,0,1,33,0,27,6,0,1
,E06000055,00KB,Bedford,EE,1.09,11,65,0,0,3,71,2,47,27,2,0
,E09000004,00AD,Bexley,L,0.16,3,13,0,0,0,16,0,12,3,0,1
,E08000025,00CN,Birmingham,WM,0.14,13,36,8,0,1,39,17,35,1,3,18
,E07000129,31UB,Blaby,EM,0.00,0,0,0,0,0,0,0,0,0,0,0
,E06000008,00EX,Blackburn with Darwen,NW,0.03,0,2,0,0,0,2,0,2,0,0,0
,E06000009,00EY,Blackpool,NW,0.21,1,12,0,0,1,12,0,12,1,0,0
